witness_ID;text_ID;author
p_°Q_0212_02;BEdT 355,005;0
p_°Q_0212_03;BEdT 034,002;0
p_°Q_0213@;BEdT 242,072;[Ç]irardus brunelus.
p_°Q_0214;BEdT 242,042;Çirardus.
p_°Q_0215;BEdT 242,060;Çirardus.
p_°Q_0216;BEdT 242,031;Çirardus.
p_°Q_0217;BEdT 242,058;Çirardus.Çirardus
p_°Q_0218;BEdT 323,001;Çirardus.
p_°Q_0219;BEdT 242,034;Çirardus.
p_°Q_0220;BEdT 242,016;Çirardus.
p_°Q_0221;BEdT 242,039;Çirardus.
p_°Q_0222;BEdT 242,069;Çirardus.
p_°Q_0223;BEdT 242,005;Çirardus.
p_°Q_0224;BEdT 242,065;Çirardus.
p_°Q_0225;BEdT 242,073;Çirardus.
p_°Q_0226;BEdT 242,020;Çirardus.
p_°Q_0227;BEdT 242,048;Çirardus.
p_°Q_0228;BEdT 242,048;Çirardus.
p_°Q_0229;BEdT 242,024;Çirardus.
p_°Q_0230@;BEdT 242,053;Çirardus brunelus.
p_°Q_0231;BEdT 242,041;Çirardus.
p_°Q_0232;BEdT 242,028;Çirardus brunelus.
p_°Q_0233;BEdT 242,025;Çirardus.
p_°Q_0234;BEdT 242,049;Çirardus.
p_°Q_0234a;BEdT 242,070;0
p_°Q_0235;BEdT 242,043;Çirardus.
p_°Q_0236;BEdT 330,019a;Çirardus.
p_°Q_0237;BEdT 242,012;Çirardus.
p_°Q_0238;BEdT 242,018;Çirardus.
p_°Q_0239;BEdT 242,074;Çirardus.
p_°Q_0240;BEdT 242,054;Çirardus.
p_°Q_0241_01;BEdT 242,051;0
p_°Q_0242@;BEdT 242,005;Çirardus brunelus.
p_°Q_0243;BEdT 242,066;Çirardus
p_°Q_0244;BEdT 242,066;Çirardus.
p_°Q_0245;BEdT 242,045;Çirardus.
p_°Q_0246;BEdT 242,059;Çirardus.
p_°Q_0247;BEdT 242,001;Çirardus.
p_°Q_0248;BEdT 242,037;Çirardus.
p_°Q_0249;BEdT 242,030;Çirardus.
p_°Q_0250;BEdT 242,080;Çirardus.
p_°Q_0251;BEdT 242,047;Çirardus.
p_°Q_0252;BEdT 242,057;Çirardus.
p_°Q_0253;BEdT 242,017;Çirardus.
p_°Q_0254;BEdT 242,055;Çirardus.
p_°Q_0255;BEdT 242,036;Çiraidus.
p_°Q_0256;BEdT 242,006;Çirardus.
p_°Q_0257;BEdT 242,062;Çirardus.
p_°Q_0258;BEdT 242,046;Çirardus.
p_°Q_0259;BEdT 242,060;Çirardus.
p_°Q_0260;BEdT 242,013;Çirardus.
p_°Q_0261;BEdT 461,130;Çirardus.
p_°Q_0261a;BEdT 461,032;0
p_°Q_0262;BEdT 461,214;Çirardus.
p_°Q_0263a;BEdT 305,006;0
p_°Q_0263b;BEdT 392,019;0
p_°Q_0263c;BEdT 461,086;0
p_°Q_0263e;BEdT 106,002;0
p_°Q_0263f;BEdT 461,232;0
p_°Q_0263g;BEdT 461,087;0
p_°Q_0263h;BEdT 461,083;0
p_°Q_0263i;BEdT 461,149;0
p_°Q_0263l;BEdT 461,129;0
p_°Q_0263m;BEdT 461,135;0
p_°Q_0263n@;BEdT 450,003;0
p_°Q_0263o;BEdT 461,021;0
p_°Q_0263p;BEdT 461,155;0
p_°Q_0263q;BEdT 461,079;0
p_°Q_0263r;BEdT 392,030;0
p_°Q_0263s;BEdT 457,012;0
p_°Q_0263t;BEdT 366,034;0
p_°Q_0263u;BEdT 450,006;0
p_°Q_0263v;BEdT 364,044;0
p_°Q_0263z;BEdT 461,105;0
p_°Q_0264;BEdT 030,004;Çirardus.
p_°Q_0265;BEdT 375,020;Çirardus.
p_°Q_0266;BEdT 030,017;Çirardus.
p_°Q_0266a;BEdT 030,023;0
p_°Q_0267;BEdT 213,006;Çirardus.
p_°Q_0268;BEdT 132,007;Çirardus.
p_°Q_0269;BEdT 213,005;Çirardus.
p_°Q_0270;BEdT 213,003;Çirardus.
p_°Q_0270a;BEdT 009,014;0
p_°Q_0270b;BEdT 315,004;0
p_°Q_0270c;BEdT 315,005;0
p_°Q_0270d;BEdT 461,036;0
p_°Q_0270e;BEdT 461,054;0
p_°Q_0270g;BEdT 330,015;0
p_MI - D.55_0001;BEdT 375,026; 
p_°Cm_0001;BEdT 406,023;-
p_°Cm_0002;BEdT 406,020;Raimonz/de miraual. Cel qui no/uol auzir chansos.
p_°Cm_0003;BEdT 406,008;Rai/monz de miraual. Ar/ab la forsa del freis.
p_°Cm_0004;BEdT 406,024;Raimonz de miraual.
p_°Cm_0005;BEdT 406,038;Raimo(n)z/de miraual. Sj eu en/chantar souen.
p_°Cm_0006;BEdT 406,009;Raimonz de/miraual. Era magrops/qe maizis.
p_°Cm_0007;BEdT 406,007;Raimons demiraual./A penas sai don ma pre/ing.
p_°Cm_0008;BEdT 406,012;Enraimons d(e)/miraual. Belmes qeu/chant econdei.
p_°Cm_0009;BEdT 030,022;Narnautz de miroill.
p_°Cm_0010;BEdT 030,023;Narnautz de miroill.
p_°Cm_0011;BEdT 030,015;Narna[...]/de miroill. La franch[...]/captenenza.
p_°Cm_0012;BEdT 030,019;[...]autz demiroill. Molt/[...]dolz mei consir.
p_°Cm_0013;BEdT 030,008;Narnautz de miro/ill. Anc ues amor non/poc res contradire.
p_°R_b-0001;BEdT 242.B.A;La uida den .Gr. de Bornelh.
p_°R_b-0002;BEdT 366.B.A;La uida den peirols
p_°R_b-0003;BEdT 234.B.A;La uida de(n) .W. d(e) .S. leidier.
p_°R_b-0003a;BEdT 234.B.B;-
p_°R_b-0003b;BEdT 234.B.C;-
p_°R_b-0004;BEdT 450.B.A;La uida de(n) uc brune(n)c.
p_°R_b-0005;BEdT 194.B.A;La uida de(n) gui duysselh
p_°R_b-0006;BEdT 155.B.A;La uida de(n) folq(ue)t demarcelha
p_°R_b-0006a;BEdT 155.B.E;-
p_°R_b-0006b;BEdT 155.B.B;-
p_°R_b-0007;BEdT 070.B.A;La uida de(n) .B. de ue(n)tadorn.
p_°R_b-0008;BEdT 167.B.A;La uida de(n) gaucelm faizit.
p_°R_b-0008a;BEdT 167.B.B;-
p_°R_b-0008b;BEdT 167.B.C;-
p_°R_b-0009;BEdT 406.B.A;La uida d(e) .R. de mirauals.
p_°R_b-0009a;BEdT 406.B.C;-
p_°R_b-0009b;BEdT 406.B.D;-
p_°R_b-0009c;BEdT 406.B.E;-
p_°R_b-0009d;BEdT 406.B.D;-
p_°R_b-0010;BEdT 364.B.A;La uida de(n) .P. uidal.
p_°R_b-0010a;BEdT 364.B.B.b;-
p_°R_b-0010b;BEdT 364.B.C;-
p_°R_b-0011;BEdT 010.B.A;Lauidaden/aym(er)ic de pegulha(n).
p_°R_b-0011a;BEdT 010.B.B;-
p_°R_b-0012;BEdT 030.B.A;La uida de(n) ar.~ de maruelh
p_°R_b-0012a;BEdT 030.B.B;-
p_°R_b-0013;BEdT 029.B.A;La uida de(n) ar.~ daniel
p_°R_b-0013a;BEdT 029.B.B;-
p_°R_b-0014;BEdT 009.B.A;La uida de(n) aym(er)ic/de belanuey.
p_°R_b-0015;BEdT 080.B.A.b;La uida de(n) B(er)tra(n)/del born.
p_°R_b-0016;BEdT 305.B.A;La uida del monge de mo(n)/taudo.
p_°R_b-0017;BEdT 173.B.A;La uida/de(n) Gaub(er)t de pueg sibot
p_°R_b-0018;BEdT 356.B.A;La uida de(n) .P. rogier.
p_°R_b-0019;BEdT 392.B.A.a;La uida d(e) raymbaut d(e) uaq(ui)eyras
p_°R_b-0019a;BEdT 392.B.B;-
p_°R_b-0019b;BEdT 392.B.C;-
p_°R_b-0020;BEdT 375.B.A;La uida de(n) pos de capduelh
p_°R_b-0020a;BEdT 375.B.B;-
p_°R_b-0021;BEdT 370.B.A;La uida den p(er)digo.
p_°R_b-0021a;BEdT 370.B.B.b;-
p_°R_b-0022;BEdT 323.B.A;La uida de(n) .p. dalu(er)nhe.
