Golias ad Christi sacerdotes 	55
Tractatus de constructione 	1
Decretum (Concordia discordantium canonum) 	245
Gratuletur omnis caro 	23
Lectura super primum et secundum Sententiarum 	40
Dialogorum libri IV 	1315
Homiliae XL in Evangelia 	1278
Homiliae in Hiezechielem prophetam 	707
Moralia in Job 	1666
Registrum epistolarum 	551
Regula pastoralis 	796
Decretales 	683
Decem libri historiarum (Historia Francorum) 	72
Libri VIII miraculorum  	48
Constitutiones novissimae 	22
Invectio in monachos 	26
Sermones ad status 	85
De arte bersandi 	5
Apparatus libri sexti Decretalium 	45
Rosarium decretorum 	27
Chirurgia parva 	4
Inventarium sive Chirurgia magna 	35
Historia destructionis Troiae 	240
Manipulus curatorum 	217
Sermones de tempore et de sanctis  	92
Arenge 	61
Dictamina rhetorica 	76
Exordia 	93
Petitiones 	39
Summa de vitiis et virtutibus 	28
Summa dictaminis 	96
Epistola de vita contemplativa 	111
De contemplando Deo ; De natura et dignitate amoris 	80
Epistola ad Rupertum (De sacramento altaris) 	54
Epistola ad fratres de Monte Dei 	249
De urina non visa 	63
Summa aurea super quattuor libros Sententiarum  	129
Expositiones vocabulorum Bibliae  	115
Liber de quibusdam ultramarinis partibus et praecipue de Terra Sancta 	27
Notae Dunelmenses 	1
Dragmaticon philosophiae 	83
Glosae super Institutiones Prisciani 	2
Diaeta salutis  	100
Tractatus de electionibus 	28
Commentarius in sententias 	36
Dialogus 	41
Oculus sacerdotis 	53
Rationale divinorum officiorum 	139
Speculum iuris 	130
De falconibus 	9
Gesta Normannorum ducum 	56
Centum meditationes passionis Domini nostri Iesu Christi  	55
Gesta regum Anglorum 	36
Dialogus de septem sacramentis 	50
De eruditione principum 	52
De eruditione religiosorum libri VI 	81
Sermones de dominicis et festis 	234
Summa de vitiis et virtutibus 	739
Apparatus in Summam s. Raymondi de paenitentia et matrimonio  	138
Flores sancti Bernardi 	34
Commentarium in Isaiam 	50
Enarratio in Cantica canticorum 	148
Expositio in Apocalypsim beati Iohannis 	175
Expositio in epistolas Pauli 	193
Homiliarium 	59
Liber paenitentialis 	72
Visio Wettini 	64
De arte calculatoria 	91
Distinctiones super V libros Decretalium 	163
De decem praeceptis 	385
De quattuor instinctibus (scilicet divino, angelico, diabolico et naturali) 	150
Quodlibeta 	95
Summa (Quaestiones ordinariae) 	27
Expositio super Pater noster 	86
Summa super quinque libris Decretalium  	101
Historia Anglorum 	74
Responsio contra tertium articulum Bohemorum De libera praedicatione verbi Dei. Responsio ad replicam Ulrici hussitae 	39
Elegia 	82
Horologium sapientiae 	446
Speculum manuale sacerdotum 	160
Quodlibeta 	43
Quaestiones Hebraicae in libros Regum et Paralipomenon 	43
Carmina minora 	76
De mysterio missae 	80
Sententiae septem sapientium 	33
Vita Beatae Mariae Aegyptiacae 	94
Causae et curae 	2
Epistolae 	59
Explanatio regulae sancti Benedicti 	27
Epistula Hilduini abbatis indigni ad cuntos sanctae Catholicae matris Ecclesiae filios et fideles 	34
Passio sancti Dionysii 	194
Revelatio quae ostensa est sancto papae Stephano et memoria de consecratione altaris sanctorum Petri et Pauli 	62
Gesta domini Dagoberti regis Francorum  	35
Aphorismi cum commento Galeni (secundum translationem Constantini Africani) 	0
Historia Apollonii regis Tyri 	200
Historia septem sapientum Romae 	72
De cognitione verae vitae 	119
Elucidarium 	348
Expositio in Cantica canticorum  	153
Expositio in Psalmos 	30
Gemma animae 	200
Imago mundi 	300
Sigillum sanctae Mariae 	59
Speculum ecclesiae 	100
Summa Gloria 	27
Commentarium in Genesim 	33
Commentarium in Matthaeum 	31
Commentarium in libros Machabaeorum 	40
Commentarium in libros Regum 	52
Commentarium in librum Iudith, Commentarium in librum Esther 	30
De rerum naturis (De universo) 	61
In honorem sanctae crucis 	81
Hymnus in Assumptione beatae Mariae virginis 	127
Officium de sancto Petro 	40
Passio sanctorum Ciryci et Iulittae martyrum 	45
Theologia mystica 	71
De avibus 	128
De claustro animae 	456
De medicina animae 	85
De nuptiis 	33
De rota verae religionis 	37
Sermones dominicales per annum 	69
Postillae in Bibliam 	421
Super libros I-IV Sententiarum 	41
Tractatus super missam 	236
Chronicon (sive De tribus maximis circumstantiis gestorum) 	40
Collationes tres de Verbo incarnato 	66
De archa Noe 	165
De arrha animae 	424
De assumptione beatae Mariae 	42
De beatae Mariae virginitate 	49
De institutione novitiorum 	238
De laude caritatis 	165
De meditatione 	168
De quatuor voluntatibus in Christo 	50
De quinque septenis 	100
De sacramentis christianae fidei 	250
De sapientia animae Christi 	86
De scripturis et scriptoribus sacris 	29
De substantia dilectionis 	98
De tribus diebus 	132
De vanitate mundi 	47
De virtute orandi 	335
Dialogus de creatione mundi 	52
Didascalicon de studio legendi 	207
Eulogium sponsi 	151
In Canticum beatae Mariae 	98
In Ecclesiasten 	108
In Psalmos 	85
In orationem dominicam 	30
Libellus de formatione arche 	88
Super Ierarchiam Dionisii 	122
Super Lamentationes 	76
Vita beatae Mariae 	41
Historia ecclesiastica 	60
In cratere meo Thetis 	47
Compendium theologicae veritatis 	911
De litteris 	26
Derivationes 	208
Conclusiones in libros IV Sententiarum 	46
Tractatus de dono timoris 	84
Epistola de tribus votis substantialibus religiosorum 	124
De virginitate sanctae Mariae 	51
De contemptu mundi 	672
De missarum mysteriis  	241
Apparatus in quinque libros Decretalium 	34
Novae constitutiones 	0
Commentarium in quattuor libros Sententiarum 	42
Institutiones canonicorum concilii Aquisgranenses 	73
Liber urinarum (secundum versionem Constantini Africani) 	12
Capitula Angilramni 	65
Allegoriae sive Liber de interpretatione quorundam nominum Veteris Novique Testamenti 	44
Chronica 	118
De differentiis libri duo 	120
De ecclesiasticis officiis 	124
De natura rerum 	58
De ortu et obitu patrum 	60
De viris illustribus 	34
Epistola ad Massonam episcopum 	38
Etymologiae 	1080
In libros Veteris ac Novi Testamenti prooemia 	53
Quaestiones in Vetus Testamentum 	68
Sententiae 	500
Synonyma 	600
Versus 	38
Epistula ad Leudefredum 	255
Collectio decretalium 	153
Itinerarium Antonini Placentini 	21
Collectio tripartita 	26
Panormia 	151
Decretum 	18
Legenda aurea 	951
Liber marialis 	70
Sermones de sanctis 	300
Sermones de tempore 	350
Sermones quadragesimales 	300
Viridarium consolationis 	152
De moribus hominum et de officiis nobilium super ludo scaccorum 	253
Compendium moralitatum 	114
Belial 	40
Historia orientalis 	125
Vita sanctae Mariae Oigniacensis 	30
Jesu, dulcis memoria 	88
Super Isaiam prophetam 	21
Apparatus ad Clementinas constitutiones 	240
Hieronymianus 	50
Summa de accidentibus mundi  	29
Catholicon 	190
Summulae Digestorum 	56
Summa de ecclesiasticis officiis 	100
